id_mutation,date_mutation,code_type_local,code_commune,surface_terrain,surface_reelle_bati,nombre_pieces_principales,nature_culture,valeur_fonciere,latitude,longitude,nombre_lots,numero_disposition,code_departement,Nombre_unite,Nombre_dependance,Year,num_trimestre,quarter,geometry,index_right,epci_name,iris_code,iris_name,iris_name_l,Prix_m2,Month,Pris_m2_moy_iris,std,Vente_par_iris,Vente_par_iris_tri,N_logements,N_res_ppale,N_res_second,N_vacant,N_maisons,N_apparts,N_proprietaire,N_locataire,DISP_MED19,Ec_maternelle,Ec_elementaire,P19_LOG,P19_RP_SDB,P19_RP_CCCOLL,P19_RP_CCIND,P19_RP_CINDELEC,UU2020,COM,TRIRIS,GRD_QUART,TYP_IRIS,P19_POP1564,P19_POP1524,P19_POP2554,P19_POP5564,P19_ACT1564,P19_CHOM1564,P19_INACT1564,Part_dactifs,Part_chomeurs,Arrondissement,dist_metro
2021-1600701,2021-04-27,1.0,75105,67.0,180.0,4.0,sols,2235000.0,48.84998,2.345336,0,1,75,1,0,2021,2,2021_Q2,POINT (2.345336 48.84998),13471.0,['MÃ©tropole du Grand Paris'],751052004,Sorbonne ,sorbonne 4,12416.666666666666,4,12756.695017658212,2732.3752106588404,162,7,2244.0,1838.0,279.0,127.0,7.0,2181.0,520.0,1171.0,33580,1,0,2242.99373019418,1682.90434383642,307.820391776948,629.961488477689,863.896965948565,00851,75105,750221,7510520,H,2153.24559538791,487.278546216942,1211.7913952033,454.175653967678,1552.58511354071,164.582847178042,600.660481847208,0.7210441376804534,0.0764347771246188,75105,231.96923105330663
2022-536715,2022-06-30,1.0,75106,115.0,264.0,7.0,sols,4550000.0,48.842058,2.334028,0,1,75,1,0,2022,2,2022_Q2,POINT (2.334028 48.842058),9405.0,['MÃ©tropole du Grand Paris'],751062302,Notre-Dame des Champs ,notre-dame des champs 2,17234.848484848484,6,16996.828150957772,4336.945887439948,89,9,1135.0,867.0,205.0,63.0,18.0,1098.0,480.0,324.0,46760,0,1,1131.79039410834,801.842966531386,581.623287876057,176.21032126096,105.866728495273,00851,75106,750251,7510623,H,1157.27729088474,384.990627025028,615.396485250899,156.890178608811,737.804335705117,66.1919210518865,419.47295517962,0.6375346181216989,0.057196249829876714,75106,494.66768756238633
2019-1505815,2019-04-09,1.0,75107,0.0,21.0,1.0,0,260000.0,48.857531,2.318488,1,1,75,1,0,2019,2,2019_Q2,POINT (2.318488 48.857531),14574.0,['MÃ©tropole du Grand Paris'],751072601,Invalides ,invalides 1,12380.952380952382,4,12955.420455807161,4931.400070039164,110,9,1542.0,1041.0,360.0,142.0,16.0,1466.0,368.0,547.0,46320,0,1,1542.49855161694,937.432521077087,272.349561504818,373.615420115418,379.374329892098,00851,75107,750291,7510726,H,1207.69484236011,256.76439531802,734.379734801492,216.550712240603,895.906831514646,92.2274608672377,311.788010845469,0.7418321252112335,0.07636652706655954,75107,216.46073695228776
2021-1598442,2021-01-28,1.0,75107,0.0,38.0,2.0,0,455000.0,48.850197,2.318862,2,1,75,1,0,2021,1,2021_Q1,POINT (2.318862 48.850197),14575.0,['MÃ©tropole du Grand Paris'],751072701,Ãcole Militaire ,Ã©cole militaire 1,11973.684210526315,1,11161.082162742257,4786.952100849231,230,10,2338.0,1558.0,547.0,234.0,37.0,2271.0,719.0,716.0,40920,0,0,2327.49789886224,1384.01557298789,654.358934461847,320.360214020756,506.341550167903,00851,75107,750321,7510727,H,1685.88297727237,426.454390820848,919.52084523628,339.907741215238,1264.91522663618,106.988619844015,420.967750636187,0.7502983562256001,0.063461474661257,75107,398.9862557700047
2017-736141,2017-10-23,1.0,75110,0.0,60.0,2.0,0,425500.0,48.872326,2.361436,3,1,75,1,0,2017,4,2017_Q4,POINT (2.361436 48.872326),45008.0,['MÃ©tropole du Grand Paris'],751103908,Porte Saint-Martin ,porte saint-martin 8,7091.666666666667,10,8363.053977754502,2439.075195937868,234,11,2248.0,1669.0,125.0,454.0,24.0,2098.0,720.0,856.0,28290,1,1,2237.49516685724,1510.93082520931,216.047938330271,601.130631046274,803.239700608105,00851,75110,750591,7511039,H,2098.86265043634,264.493505993577,1537.13166627237,297.237478170399,1781.23418004775,207.838753955673,317.628470388591,0.848666385900689,0.09902446637585584,75110,164.01923813696425
2021-1603786,2021-07-09,1.0,75112,0.0,60.0,3.0,0,735000.0,48.84793,2.378412,3,1,75,1,0,2021,3,2021_Q3,POINT (2.378412 48.84793),45015.0,['MÃ©tropole du Grand Paris'],751124809,Quinze-Vingts ,quinze-vingts 9,12250.0,7,11415.31058756622,2110.124092026242,159,12,1887.0,1477.0,281.0,128.0,6.0,1698.0,493.0,940.0,30910,1,1,1879.50453419853,1342.4165921812,427.069544084223,389.345679210847,651.293176286518,00851,75112,750861,7511248,H,1763.23896766789,389.408531196231,1108.25852469113,265.571911780524,1388.6539521467,183.117635145942,374.585015521186,0.7875585655774006,0.10385298788407483,75112,405.4795361104914
2021-1612691,2021-12-22,1.0,75112,0.0,112.0,5.0,0,1060000.0,48.834097,2.399055,1,1,75,1,2,2021,4,2021_Q4,POINT (2.399055 48.834097),5505.0,['MÃ©tropole du Grand Paris'],751124602,Picpus ,picpus 2,9464.285714285714,12,8572.973723338464,1567.4945027390092,154,5,1837.0,1574.0,123.0,139.0,7.0,1823.0,522.0,1009.0,29550,0,0,1818.50479221397,1410.62105304416,602.669521861184,249.540053688001,702.13220242819,00851,75112,750951,7511246,H,1865.0651655531,284.151256738456,1303.96316363816,276.950745176484,1451.72836240755,183.074988409398,413.336803145548,0.7783794310356058,0.0981601028160888,75112,181.0438772428862
2017-737548,2017-08-08,1.0,75112,0.0,143.0,6.0,0,1145000.0,48.836725,2.404647,2,1,75,1,1,2017,3,2017_Q3,POINT (2.404647 48.836725),49167.0,['MÃ©tropole du Grand Paris'],751124502,Bel-Air ,bel-air 2,8006.993006993007,8,8362.859895849177,1146.8144350951786,261,15,2726.0,2228.0,251.0,246.0,42.0,2658.0,854.0,1274.0,32250,0,0,2723.0068164713,2109.50999451352,668.227305770342,485.12955309089,1057.54736979997,00851,75112,750921,7511245,H,2710.86590006231,447.013012233543,1857.93676530978,405.916122518987,2320.81952705203,262.939756069355,390.046373010281,0.8561174224806491,0.09699474845410509,75112,174.77064721219904
2019-1516017,2019-07-25,1.0,75112,135.0,149.0,6.0,sols,1430000.0,48.835193,2.404587,0,1,75,1,0,2019,3,2019_Q3,POINT (2.404587 48.835193),49167.0,['MÃ©tropole du Grand Paris'],751124502,Bel-Air ,bel-air 2,9597.31543624161,7,8622.74624038493,2155.871939542966,261,18,2726.0,2228.0,251.0,246.0,42.0,2658.0,854.0,1274.0,32250,0,0,2723.0068164713,2109.50999451352,668.227305770342,485.12955309089,1057.54736979997,00851,75112,750921,7511245,H,2710.86590006231,447.013012233543,1857.93676530978,405.916122518987,2320.81952705203,262.939756069355,390.046373010281,0.8561174224806491,0.09699474845410509,75112,108.30578673564483
2019-1515247,2019-06-14,1.0,75112,34.0,84.0,5.0,sols,1100000.0,48.84691,2.370783,0,1,75,1,0,2019,2,2019_Q2,POINT (2.370783 48.84691),41458.0,['MÃ©tropole du Grand Paris'],751124803,Quinze-Vingts ,quinze-vingts 3,13095.238095238095,6,13848.315449256626,7791.220843363214,113,7,1331.0,1059.0,147.0,126.0,36.0,1279.0,372.0,655.0,38970,0,0,1333.00325858532,971.327593286352,476.771532487789,231.60031350065,344.742431428769,00851,75112,750841,7511248,H,1580.50395022938,297.639145026069,1053.99584858714,228.868956616173,1224.49035669021,101.614446703562,356.013593539176,0.7747467866261888,0.06429243450407991,75112,301.0256918978672
2021-1602104,2021-07-08,1.0,75112,37.0,108.0,6.0,sols,1112500.0,48.846954,2.371115,0,1,75,1,0,2021,3,2021_Q3,POINT (2.371115 48.846954),41458.0,['MÃ©tropole du Grand Paris'],751124803,Quinze-Vingts ,quinze-vingts 3,10300.925925925925,7,9014.54985772689,2503.4649178294353,113,7,1331.0,1059.0,147.0,126.0,36.0,1279.0,372.0,655.0,38970,0,0,1333.00325858532,971.327593286352,476.771532487789,231.60031350065,344.742431428769,00851,75112,750841,7511248,H,1580.50395022938,297.639145026069,1053.99584858714,228.868956616173,1224.49035669021,101.614446703562,356.013593539176,0.7747467866261888,0.06429243450407991,75112,325.23320116838414
