infobulle,nom,ligne,etat,type,en_service,couvert,commune,index_right,year,reg_code,reg_name,dep_code,dep_name,arrdep_code,arrdep_name,ze2020_code,ze2020_name,bv2012_code,bv2012_name,epci_code,epci_name,ept_code,ept_name,com_code,com_name,com_arm_cod,com_arm_nam,iris_code,iris_name,iris_name_u,iris_name_l,iris_area_c,iris_type,iris_grd_qu,iris_in_ctu,ze2010_code,ze2010_name,geometry,Longitude,Latitude
"JOLIMONT
Ligne A",JOLIMONT,A,Existant,Metro,1993.0,AÃ©rien,TOULOUSE,3256,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31555'],['Toulouse'],['31555'],['Toulouse'],['315552002'],['Caravelle'],CARAVELLE,caravelle,FXX,iris d'habitat,Marengo-Jolimont,Non,,,POINT (1.463437049108465 43.61531728380718),1.463437049108465,43.61531728380718
"UNIVERSITE PAUL SABATIER
Ligne B",UNIVERSITE PAUL SABATIER,B,Existant,Metro,2007.0,Souterrain,TOULOUSE,47431,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31555'],['Toulouse'],['31555'],['Toulouse'],['315554801'],['Paul Sabatier'],PAUL SABATIER,paul sabatier,FXX,iris d'habitat,Rangueil-C.H.U.-FacultÃ©s,Non,,,POINT (1.463214989775155 43.56095537717352),1.463214989775155,43.56095537717352
"SAINT-AGNE - SNCF
Ligne B",SAINT-AGNE - SNCF,B,Existant,Metro,2007.0,Souterrain,TOULOUSE,1528,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31555'],['Toulouse'],['31555'],['Toulouse'],['315552502'],['Ãcole Normale'],ÃCOLE NORMALE,Ã©cole normale,FXX,iris d'habitat,Saint-Agne,Non,,,POINT (1.450081835811128 43.580420377978996),1.450081835811128,43.580420377978996
"PALAIS DE JUSTICE
Ligne B",PALAIS DE JUSTICE,B,Existant,Metro,2007.0,Souterrain,TOULOUSE,48482,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31555'],['Toulouse'],['31555'],['Toulouse'],['315551301'],['Notre-Dame'],NOTRE-DAME,notre-dame,FXX,iris d'habitat,Saint-Michel,Non,,,POINT (1.444642447551414 43.592339411181776),1.444642447551414,43.592339411181776
"CARMES
Ligne B",CARMES,B,Existant,Metro,2007.0,Souterrain,TOULOUSE,31599,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31555'],['Toulouse'],['31555'],['Toulouse'],['315550401'],['Croix Baragnon'],CROIX BARAGNON,croix baragnon,FXX,iris d'habitat,Saint-Ãtienne,Non,,,POINT (1.445596541184956 43.59761946534404),1.445596541184956,43.59761946534404
"FRANCOIS VERDIER
Ligne B",FRANCOIS VERDIER,B,Existant,Metro,2007.0,Souterrain,TOULOUSE,31600,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31555'],['Toulouse'],['31555'],['Toulouse'],['315551101'],['Dupuy'],DUPUY,dupuy,FXX,iris d'habitat,Saint-Aubin-Dupuy,Non,,,POINT (1.452169480646436 43.60069430178175),1.452169480646436,43.60069430178175
"CANAL DU MIDI
Ligne B",CANAL DU MIDI,B,Existant,Metro,2007.0,Souterrain,TOULOUSE,45279,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31555'],['Toulouse'],['31555'],['Toulouse'],['315550801'],['SÃ©bastopol'],SÃBASTOPOL,sÃ©bastopol,FXX,iris d'habitat,Compans,Non,,,POINT (1.434420685353268 43.61542412847316),1.434420685353268,43.61542412847316
"TROIS COCUS
Ligne B",TROIS COCUS,B,Existant,Metro,2007.0,Souterrain,TOULOUSE,47428,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31555'],['Toulouse'],['31555'],['Toulouse'],['315553901'],['Les Izards'],LES IZARDS,les izards,FXX,iris d'habitat,Les Izards,Non,,,POINT (1.444439544725424 43.63800110305037),1.444439544725424,43.63800110305037
"LARDENNE
Ligne C",LARDENNE,C,Existant,Train,1993.0,AÃ©rien,TOULOUSE,42026,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31555'],['Toulouse'],['31555'],['Toulouse'],['315555802'],['Les Capelles'],LES CAPELLES,les capelles,FXX,iris d'habitat,Lardenne,Non,,,POINT (1.38404977084177 43.596594766574945),1.38404977084177,43.596594766574945
"COLOMIERS
Ligne C",COLOMIERS,C,Existant,Train,1993.0,AÃ©rien,COLOMIERS,29641,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31149'],['Colomiers'],['31149'],['Colomiers'],['311490501'],['Gare Lamartine'],GARE LAMARTINE,gare lamartine,FXX,iris d'habitat,Gare-Lamartine,Non,,,POINT (1.333286021769857 43.60365676736611),1.333286021769857,43.60365676736611
